UNIDAD DE APRENDIZAJE,GRUPO,DÍA/HORA/AULA,DÍA/HORA/AULA,DÍA/HORA/AULA,PROFESOR,CORREO PROFESOR,PROFESOR2,CORREO PROFESOR 2
"FLUIDOS, ONDAS Y TEMPERATURA",C-VI,MIÉRCOLES/12-14/F6,JUEVES/12-14/F6,LUNES/8-10/LAB. DE FÍSICA EDIF. C,ANA LAURA BENAVIDES OBREGÓN,This email address is being protected from spambots. You need JavaScript enabled to view it.,NATALIA RINCÓN LONDOÑO,This email address is being protected from spambots. You need JavaScript enabled to view it.
"FLUIDOS, ONDAS Y TEMPERATURA",D-V,MARTES/12-14/F6,VIERNES/12-14/F6,JUEVES/12-14/ LAB. DE FÍSICA EDIF. G,MODESTO ANTONIO SOSA AQUINO,This email address is being protected from spambots. You need JavaScript enabled to view it.,NATALIA RINCÓN LONDOÑO,This email address is being protected from spambots. You need JavaScript enabled to view it.
"FLUIDOS, ONDAS Y TEMPERATURA",D-VI,MARTES/12-14/F6,VIERNES/12-14/F6,LUNES/8-10/LAB. DE FÍSICA EDIF. C,MODESTO ANTONIO SOSA AQUINO,This email address is being protected from spambots. You need JavaScript enabled to view it.,NATALIA RINCÓN LONDOÑO,This email address is being protected from spambots. You need JavaScript enabled to view it.
FUNCIONES ESPECIALES,A,MARTES/8-10/G1,VIERNES/8-10/G1, ,DAVID Y. G. DELEPINE,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
FUNDAMENTOS DE PROCESAMIENTO DIGITAL DE IMÁGENES,A,MARTES/17-19/ CENTRO DE CÓMPUTO 2,VIERNES/17-19/CENTRO DE CÓMPUTO 2, ,ARTURO GONZÁLEZ VEGA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
FUNDAMENTOS DE PROCESAMIENTO DIGITAL DE SEÑALES,A,MARTES/8-10/CENTRO DE CÓMPUTO 2,JUEVES/8-10/CENTRO DE CÓMPUTO 2, ,ARTURO GONZÁLEZ VEGA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
FUNDAMENTOS DE PROCESAMIENTO DIGITAL DE SEÑALES,B,LUNES/17-19/CENTRO DE CÓMPUTO 1,MIÉRCOLES/17-19/CENTRO DE CÓMPUTO 1, ,HUETZIN AARÓN PÉREZ OLIVAS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
FUNDAMENTOS FILOSÓFICO-EPISTEMOLÓGICOS,A,VIERNES/15-18/G1, , ,MA. DEL CARMEN VARELA CHÁVEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
GEOMETRÍA DIFERENCIAL,A,LUNES/17-19/F8,MIÉRCOLES/17-19/F8, ,OSCAR GERARDO LOAIZA BRITO,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
HERRAMIENTAS INFORMÁTICAS Y GESTIÓN DE LA INFORMACIÓN,A,LUNES/12-15/ CENTRO DE CÓMPUTO 1, , ,ALAN LÓPEZ MARTÍNEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
HERRAMIENTAS INFORMÁTICAS Y GESTIÓN DE LA INFORMACIÓN,B,LUNES/8-11/ CENTRO DE CÓMPUTO 2, , ,DELIA IRAZÚ HERNÁNDEZ FARÍAS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INGENIERÍA AMBIENTAL DEL AGUA Y SUELOS,A,LUNES/17-19/F2,MIÉRCOLES/17-19/F2, ,ÉDGAR VÁZQUEZ NÚÑEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INGENIERÍA CLÍNICA,A,MARTES/17-19/LAB. DE ELECTRÓNICA EDIF. G,MIÉRCOLES/17-19/LAB. DE ELECTRÓNICA EDIF. G,JUEVES/17-19/LAB. DE ELECTRÓNICA EDIF. G,JOSÉ GONZÁLEZ CRUZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INGENIERÍA DE CALOR,A,LUNES/17-19/F1,MIÉRCOLES/17-19/F1, ,JOSÉ DE JESÚS IBARRA SÁNCHEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INGENIERÍA DE CONTROL,A,MIÉRCOLES/12-14/LAB. DE ELECTRÓNICA EDIF. G,VIERNES/8-12/LAB. DE ELECTRÓNICA EDIF. G, ,CARLOS VILLASEÑOR MORA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
INGENIERÍA DE CONTROL DE PROCESOS,A,MARTES/12-14/AUDITORIO EDIF. B,"JUEVES/10-12/LAB. DE ING. QUÍMICA, EDIF. G", ,CHRISTIAN FELIPE RODRÍGUEZ ROBLES,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
